time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1708937523.31952500,0.04415861,52703,0.00051628,0.00000000,0,0.00000071,74331,74315,143,0.00294080
1708937523.41959763,0.03104525,52833,0.00027247,0.00000000,0,0.00000091,74315,74383,116,0.00489354
1708937523.51949000,0.03689582,51899,0.00054207,0.00000000,0,0.00000081,74383,74402,132,0.00583130
1708937523.61953664,0.03661222,54247,0.00053101,0.00000000,0,0.00000066,74402,74464,116,0.00267881
1708937523.71947336,0.03509636,52732,0.00065727,0.00000000,0,0.00000092,74464,74513,119,0.00620963
1708937523.81954527,0.03536062,50546,0.00028555,0.00000000,0,0.00000116,74513,74587,119,0.00504319
1708937523.91951370,0.05070493,54904,0.00042865,0.00000000,0,0.00000130,74587,74637,133,0.00440791
1708937524.01948142,0.04242254,52736,0.00051219,0.00000000,0,0.00000079,74637,74696,164,0.00495069
1708937524.11950135,0.03622069,52557,0.00084361,0.00000000,0,0.00000074,74696,74804,175,0.00484842
1708937524.21954894,0.04949728,53650,0.00072985,0.00000000,0,0.00000057,74804,74859,187,0.00407885
1708937524.31950951,0.04261266,54174,0.00104307,0.00000000,0,0.00000103,74859,74898,180,0.00580169
1708937524.41952586,0.04163086,54046,0.00101162,0.00000000,0,0.00000094,74898,74979,161,0.00554651
1708937524.51953101,0.05275351,54309,0.00415063,0.00000000,0,0.00000136,74979,75120,165,0.00358544
1708937524.61944985,0.04729276,52212,0.00051754,0.00000000,0,0.00000106,72419,72539,141,0.00562678
1708937524.71946383,0.05772800,51201,0.00041600,0.00000000,0,0.00000077,72539,72626,116,0.00566664
1708937524.81944084,0.04053124,53774,0.00034069,0.00000000,0,0.00000067,72626,72720,124,0.00594548
1708937524.91950464,0.04574583,52705,0.00035489,0.00000000,0,0.00000091,72720,72806,122,0.00578902
1708937525.01957774,0.04329389,51377,0.00031606,0.00000000,0,0.00000077,72806,72883,107,0.00433929
1708937525.11949754,0.03127244,53185,0.00040053,0.00000000,0,0.00000560,72883,72968,113,0.00410150
1708937525.21942353,0.03879036,51423,0.00029030,0.00000000,0,0.00000094,72968,73049,119,0.00382194
1708937525.31943345,0.04419586,51847,0.00033145,0.00000000,0,0.00000065,73049,73109,104,0.00618563
1708937525.41956568,0.04343181,52531,0.00046377,0.00000000,0,0.00000085,73109,73172,109,0.00904834
1708937525.51957488,0.04692439,49583,0.00021919,0.00000000,0,0.00000123,73172,73239,85,0.00869501
1708937525.61957264,0.05215758,52026,0.00027817,0.00000000,0,0.00000071,73239,73294,103,0.00390029
1708937525.71952462,0.04042188,50832,0.00040083,0.00000000,0,0.00000069,73294,73364,102,0.00655056
1708937525.81957436,0.04569312,50183,0.00029830,0.00000000,0,0.00000075,73364,73428,100,0.00547475
1708937525.91954899,0.04288984,52365,0.00025829,0.00000000,0,0.00000071,73428,73496,96,0.00974044
1708937526.01958632,0.05252428,53123,0.00043318,0.00000000,0,0.00000129,73496,73557,111,0.00259527
1708937526.11948371,0.03509629,52181,0.00031835,0.00000000,0,0.00000071,73557,73607,78,0.00531287
1708937526.21942043,0.03339613,50586,0.00030500,0.00000000,0,0.00000099,73607,73659,84,0.00667393
1708937526.31960201,0.03748750,52140,0.00085787,0.00000000,0,0.00000058,73659,73734,116,0.00367179
1708937526.41948986,0.03044904,51819,0.00024046,0.00000000,0,0.00000063,73734,73794,77,0.00237627
1708937526.51951814,0.03565978,49360,0.00032181,0.00000000,0,0.00000067,73794,73836,68,0.00683044
1708937526.61956835,0.03450516,50251,0.00025151,0.00000000,0,0.00000068,73836,73866,69,0.00577398
1708937526.71959829,0.03574796,53298,0.00027628,0.00000000,0,0.00000077,73866,73913,88,0.00432144
1708937526.81952238,0.04197437,50412,0.00033589,0.00000000,0,0.00000067,73913,73974,96,0.00647932
1708937526.91940880,0.06403509,51654,0.00026251,0.00000000,0,0.00000135,73974,73993,79,0.00854331
1708937527.01944160,0.04884744,50751,0.00050188,0.00000000,0,0.00000076,73993,74058,103,0.00415929
1708937527.11940670,0.04161097,49894,0.00036527,0.00000000,0,0.00000085,74058,74119,85,0.00447991
1708937527.21959376,0.03258627,51095,0.00033124,0.00000000,0,0.00000106,74119,74162,107,0.00437759
1708937527.31961632,0.04778863,50539,0.00029111,0.00000000,0,0.00000059,74162,74192,74,0.00559788
1708937527.41953373,0.04466958,50332,0.00038089,0.00000000,0,0.00000067,74192,74226,93,0.00410953
1708937527.51947069,0.04407552,48959,0.00033426,0.00000000,0,0.00000126,74226,74248,61,0.00342820
1708937527.61955142,0.03636675,51750,0.00031125,0.00000000,0,0.00000074,74248,74316,113,0.00832299
1708937527.71955633,0.03635449,48671,0.00021732,0.00000000,0,0.00000076,74316,74367,90,0.00407176
1708937527.81944203,0.03873799,50083,0.00040252,0.00000000,0,0.00000071,74367,74415,112,0.00438619
1708937527.91958380,0.03955604,49969,0.00031323,0.00000000,0,0.00000064,74415,74451,91,0.00253621
1708937528.01949883,0.04707798,50226,0.00053847,0.00000000,0,0.00000081,74451,74488,91,0.00635079
1708937528.11957955,0.03943677,49831,0.00025079,0.00000000,0,0.00000075,74488,74533,89,0.00337962
1708937528.21965241,0.04390823,49747,0.00108201,0.00000000,0,0.00000106,74533,74571,110,0.00967148
1708937528.31947803,0.03760257,47681,0.00024922,0.00000000,0,0.00000077,74571,74627,91,0.00861181
1708937528.41952491,0.04808403,48412,0.00047065,0.00000000,0,0.00000081,74627,74632,93,0.00650719
1708937528.51956367,0.03558402,49221,0.00031680,0.00000000,0,0.00000075,74632,74682,111,0.00569534
1708937528.61944413,0.05139120,46859,0.00034619,0.00000000,0,0.00000065,74682,74728,94,0.00767488
1708937528.71958423,0.04355103,50595,0.00031712,0.00000000,0,0.00000078,74728,74777,114,0.00787479
1708937528.81943893,0.04623281,48396,0.00076152,0.00000000,0,0.00000096,74777,74773,92,0.00336272
1708937528.91957784,0.04654033,49658,0.00037681,0.00000000,0,0.00000132,74773,74832,116,0.00786641
1708937529.01955462,0.03793128,48469,0.00045320,0.00000000,0,0.00000112,74832,74908,170,0.00910934
1708937529.11949730,0.03764239,50401,0.00074342,0.00000000,0,0.00000068,74908,74949,145,0.00366394
1708937529.21951580,0.04806261,50167,0.00036101,0.00000000,0,0.00000072,74949,74982,109,0.00378136
1708937529.31964064,0.04083100,51621,0.00057443,0.00000000,0,0.00000075,74982,75041,129,0.00729026
1708937529.41961098,0.03792004,48803,0.00052600,0.00000000,0,0.00000098,75041,75076,126,0.00689908
1708937529.51961875,0.03794731,49622,0.00057062,0.00000000,0,0.00000077,75076,75154,148,0.00914974
1708937529.61962295,0.03228154,48992,0.00092457,0.00000000,0,0.00000065,75154,75263,200,0.00726420
1708937529.71957397,0.04352806,49926,0.00055697,0.00000000,0,0.00000114,75263,75329,128,0.00540940
1708937529.81960344,0.04562781,49998,0.00034440,0.00000000,0,0.00000109,75329,75395,125,0.00791339
1708937529.91953325,0.05853974,52056,0.00047053,0.00000000,0,0.00000080,75395,75448,139,0.00423063
1708937530.01943779,0.03777376,52256,0.00078385,0.00000000,0,0.00000075,75448,75535,154,0.00856285
1708937530.11963415,0.05442785,48145,0.00090331,0.00000000,0,0.00000092,75535,75559,129,0.00720085
1708937530.21951151,0.04681395,51872,0.00062751,0.00000000,0,0.00000088,75559,75562,144,0.00490693
1708937530.31954622,0.03978289,48736,0.00033762,0.00000000,0,0.00000070,75562,75628,127,0.00676244
1708937530.41956949,0.05392769,51805,0.00147382,0.00000000,0,0.00000095,75628,75705,155,0.00472072
1708937530.51957464,0.04574778,48830,0.00063964,0.00000000,0,0.00000141,75705,75758,128,0.00599701
1708937530.61952853,0.03616724,49028,0.00094252,0.00000000,0,0.00000075,75758,75823,145,0.00480810
1708937530.71950316,0.03911617,50548,0.00045345,0.00000000,0,0.00000084,75823,75842,145,0.00420868
1708937530.81941557,0.04162382,50446,0.00155869,0.00000000,0,0.00000077,75842,75883,175,0.00930519
1708937530.91957307,0.03661704,51053,0.00049614,0.00000000,0,0.00000071,75883,76005,197,0.01170586
1708937531.01957250,0.05176705,50025,0.00042202,0.00000000,0,0.00000094,76005,76083,131,0.00353139
1708937531.11961412,0.04438195,50447,0.00077106,0.00000000,0,0.00000073,76083,76104,175,0.01010461
1708937531.21949029,0.04361203,50273,0.00057439,0.00000000,0,0.00000112,76104,76176,149,0.00629123
1708937531.31950188,0.04737716,51235,0.00068883,0.00000000,0,0.00000071,76176,76230,144,0.00768021
1708937531.41959882,0.04917736,49308,0.00064908,0.00000000,0,0.00000064,76230,76280,171,0.00646930
1708937531.51957202,0.03359548,51476,0.00052167,0.00000000,0,0.00000075,76280,76349,148,0.00578617
1708937531.61952281,0.04101469,49242,0.00031602,0.00000000,0,0.00000073,76349,76408,118,0.00427322
1708937531.71941757,0.02883728,50202,0.00030231,0.00000000,0,0.00000078,76408,76482,135,0.00659070
1708937531.81951666,0.04908497,48436,0.00056453,0.00000000,0,0.00000095,76482,76512,117,0.00674245
1708937531.91948605,0.04868786,50674,0.00082325,0.00000000,0,0.00000077,76512,76559,115,0.00668197
1708937532.01959777,0.04413338,49023,0.00032876,0.00000000,0,0.00000079,76559,76615,135,0.00911759
1708937532.11964655,0.04032592,48955,0.00070339,0.00000000,0,0.00000090,76615,76644,117,0.00545290
1708937532.21957088,0.04738785,49864,0.00037660,0.00000000,0,0.00000152,76644,76708,138,0.00646494
1708937532.31959486,0.04190357,47641,0.00047174,0.00000000,0,0.00000093,76708,76752,145,0.00423451
1708937532.41949153,0.03642488,49322,0.00050437,0.00000000,0,0.00000098,76752,76847,178,0.00939362
1708937532.51955676,0.03447522,50704,0.00055241,0.00000000,0,0.00000099,76847,76895,190,0.00550791
1708937532.61960459,0.03684460,50210,0.00084455,0.00000000,0,0.00000088,76895,76960,178,0.00649801
1708937532.71959186,0.03592380,51680,0.00035937,0.00000000,0,0.00000063,76960,77035,141,0.00593159
1708937532.81951380,0.03650489,48761,0.00064379,0.00000000,0,0.00000132,77035,77129,170,0.00441472
1708937532.91964746,0.03867898,48550,0.00065859,0.00000000,0,0.00000086,77129,77159,196,0.00581953
1708937533.01953459,0.04644538,46743,0.00078526,0.00000000,0,0.00000080,77159,77292,217,0.00476689
1708937533.11954427,0.05005509,49504,0.00103688,0.00000000,0,0.00000068,77292,77344,194,0.00552207
1708937533.21957588,0.04767478,52222,0.00254474,0.00000000,0,0.00000083,77344,77369,213,0.00665303
